time,ax,ay,az,atotal
0.000,0.25,0.31,0.11,0.41
0.010,0.38,0.17,-0.18,0.45
0.020,0.25,0.15,-0.48,0.56
0.030,0.06,0.12,-0.68,0.69
0.040,-0.03,0.08,-0.61,0.62
0.050,0.20,0.19,-0.25,0.37
0.060,0.50,0.37,0.22,0.66
0.070,0.56,0.46,0.37,0.82
0.080,0.41,0.43,0.33,0.68
0.090,0.22,0.23,0.27,0.41
0.100,-0.01,-0.04,0.19,0.20
0.110,-0.30,-0.27,0.11,0.41
0.120,-0.59,-0.40,0.31,0.77
0.130,-0.71,-0.49,0.58,1.04
0.140,-0.43,-0.64,0.90,1.19
0.150,0.05,-0.49,1.05,1.16
0.160,0.42,-0.12,0.93,1.03
0.170,0.60,0.37,0.85,1.11
0.180,0.80,0.50,0.56,1.10
0.190,0.99,0.40,0.14,1.08
0.200,0.82,0.14,-0.01,0.83
0.210,0.54,-0.01,0.12,0.55
0.220,0.21,-0.25,-0.13,0.35
0.230,-0.13,-0.50,-0.54,0.75
0.240,-0.38,-0.55,-0.73,0.99
0.250,-0.61,-0.42,-0.28,0.79
0.260,-0.58,-0.32,0.23,0.70
0.270,-0.33,-0.23,0.73,0.84
0.280,0.03,-0.18,0.92,0.94
0.289,0.11,-0.26,0.62,0.68
0.299,0.06,-0.29,0.22,0.37
0.309,-0.07,-0.30,-0.04,0.31
0.319,-0.17,-0.34,-0.03,0.38
0.329,-0.25,-0.41,0.09,0.49
0.339,-0.15,-0.46,0.22,0.53
0.349,0.05,-0.42,0.43,0.60
0.359,0.29,-0.42,0.28,0.58
0.369,0.32,-0.46,-0.13,0.57
0.379,0.22,-0.45,-0.39,0.64
0.389,0.19,-0.43,-0.28,0.55
0.399,0.29,-0.66,-0.33,0.79
0.409,0.23,-0.96,-0.40,1.06
0.419,0.19,-1.11,-0.47,1.22
0.429,0.21,-1.19,-0.65,1.37
0.439,0.16,-1.38,-0.71,1.56
0.449,0.11,-1.69,-0.90,1.92
0.459,0.06,-2.00,-1.16,2.32
0.469,0.11,-2.34,-1.32,2.69
0.479,0.34,-2.69,-1.32,3.02
0.489,1.01,-2.81,-1.65,3.41
0.499,1.92,-2.60,-2.10,3.86
0.509,2.47,-2.34,-2.43,4.19
0.519,2.35,-2.19,-2.50,4.07
0.529,2.01,-2.03,-2.54,3.82
0.539,0.92,-1.78,-1.91,2.77
0.549,-0.08,-1.64,-1.86,2.48
0.559,-0.36,-1.61,-2.33,2.85
0.569,-0.74,-1.35,-2.28,2.75
0.579,-1.25,-0.95,-1.75,2.35
0.589,-1.05,-0.73,-1.41,1.91
0.599,-0.83,-0.65,-1.74,2.03
0.609,-2.22,-0.67,-2.82,3.65
0.619,-2.04,-1.08,-1.94,3.02
0.629,-2.44,-1.73,-2.16,3.69
0.639,-2.05,-2.87,-3.26,4.80
0.649,-2.55,-3.62,-3.88,5.89
0.659,-3.07,-3.95,-4.08,6.45
0.669,-2.89,-4.16,-4.03,6.47
0.679,-2.71,-3.92,-4.23,6.38
0.689,-2.77,-4.16,-4.69,6.85
0.698,-3.11,-5.06,-4.80,7.63
0.709,-3.42,-5.61,-4.47,7.95
0.719,-3.45,-5.58,-3.60,7.48
0.729,-3.26,-5.32,-2.60,6.76
0.739,-2.71,-5.47,-2.13,6.46
0.749,-2.80,-5.86,-1.65,6.71
0.758,-2.49,-6.06,-1.35,6.69
0.768,-1.96,-6.00,-0.86,6.37
0.778,-1.79,-5.79,-0.50,6.08
0.788,-1.88,-5.33,-0.90,5.73
0.798,-1.76,-4.58,-1.10,5.03
0.808,-0.72,-3.74,-0.69,3.87
0.818,0.53,-3.07,-0.19,3.12
0.828,1.26,-2.76,0.42,3.07
0.838,1.14,-2.77,1.05,3.17
0.848,0.82,-2.87,1.57,3.37
0.858,1.46,-2.87,2.20,3.90
0.868,3.14,-2.45,3.12,5.06
0.878,4.47,-1.89,3.97,6.28
0.888,5.05,-1.70,4.59,7.04
0.898,5.93,-1.70,5.02,7.96
0.908,6.95,-1.53,4.92,8.65
0.918,7.96,-1.11,4.49,9.21
0.928,9.31,-0.70,4.60,10.41
0.938,10.30,-0.33,4.85,11.39
0.949,10.88,-0.11,5.02,11.99
0.958,10.90,0.09,4.55,11.81
0.968,10.85,0.58,3.67,11.47
0.978,10.75,1.34,3.15,11.28
0.988,11.55,2.55,1.50,11.92
0.998,12.04,4.09,-0.34,12.72
1.008,11.73,5.17,-1.23,12.88
1.018,10.96,5.99,-2.09,12.66
1.028,9.88,6.25,-4.35,12.47
1.038,9.11,7.39,-10.37,15.65
1.048,8.70,8.13,-10.36,15.78
1.058,8.02,6.50,-6.57,12.24
1.068,3.83,3.60,-3.99,6.59
1.078,1.20,1.31,-4.05,4.42
1.088,-0.82,0.78,-4.77,4.90
1.098,-1.45,1.45,-4.81,5.23
1.108,-1.39,2.28,-4.54,5.27
1.118,-0.83,3.23,-3.25,4.66
1.128,-0.02,3.14,-1.16,3.35
1.138,0.35,1.46,0.17,1.51
1.148,1.17,3.29,1.45,3.78
1.158,0.09,1.06,1.04,1.49
1.168,-1.27,-0.29,0.25,1.32
1.178,-1.67,0.18,-0.60,1.79
1.188,-1.19,0.47,-0.10,1.28
1.198,-0.97,-0.11,1.14,1.50
1.208,-1.46,-0.22,0.66,1.62
1.218,-2.01,0.64,0.33,2.13
1.227,-1.01,-0.02,1.52,1.83
1.237,-0.87,-0.10,3.07,3.19
1.247,-1.88,-1.30,2.38,3.30
1.257,-2.66,-1.45,1.28,3.29
1.267,-2.60,-1.67,-0.02,3.09
1.277,-1.64,-1.66,-1.18,2.61
1.287,-0.80,0.63,-0.61,1.19
1.297,0.21,0.02,0.26,0.33
1.307,1.42,-0.07,-0.39,1.48
1.317,2.05,0.69,-0.62,2.25
1.327,2.08,-0.91,-0.02,2.27
1.337,2.76,-1.80,2.42,4.09
1.347,5.00,-2.34,3.69,6.63
1.357,4.60,-1.62,2.69,5.57
1.367,3.99,-2.13,0.74,4.58
1.377,3.86,-2.44,-0.18,4.57
1.387,4.11,-1.66,0.06,4.43
1.397,4.18,-1.48,-0.19,4.44
1.407,3.71,-1.79,-0.40,4.14
1.417,3.33,-1.96,-1.03,4.00
1.427,3.55,-1.51,-1.69,4.21
1.437,3.95,-0.53,-2.05,4.48
1.447,4.70,0.52,-1.85,5.07
1.457,5.49,2.14,-0.83,5.94
1.467,5.48,2.63,0.28,6.08
1.477,4.75,2.26,-0.31,5.27
1.487,3.42,1.75,-1.03,3.98
1.497,1.74,2.17,-0.41,2.81
1.507,1.23,1.98,-0.18,2.34
1.517,1.59,1.59,-0.64,2.34
1.527,1.74,1.38,-0.63,2.31
1.537,0.68,1.27,-0.06,1.44
1.547,-1.04,1.32,0.27,1.70
1.557,-2.75,1.10,0.49,3.00
1.567,-4.47,0.76,0.83,4.60
1.577,-6.24,0.21,0.88,6.31
1.587,-7.40,-0.32,1.04,7.48
1.597,-7.89,-0.68,1.30,8.02
1.607,-7.99,-0.74,1.46,8.16
1.617,-7.76,-0.70,1.46,7.93
1.627,-7.71,-0.98,1.59,7.93
1.637,-7.83,-1.06,1.50,8.04
1.647,-8.06,-1.01,1.55,8.27
1.657,-8.08,-1.03,1.68,8.32
1.667,-7.92,-0.93,1.55,8.13
1.677,-7.61,-0.58,1.37,7.76
1.687,-7.23,-0.13,1.06,7.31
1.696,-6.88,0.13,0.50,6.90
1.706,-6.75,0.16,-0.18,6.75
1.716,-6.16,-0.17,-1.31,6.30
1.726,-4.98,-0.69,-2.42,5.58
1.736,-3.64,-0.70,-3.20,4.90
1.746,-2.35,-0.27,-3.72,4.41
1.756,-1.74,-0.56,-3.65,4.08
1.766,-0.24,0.05,-4.19,4.19
1.776,1.29,3.33,-4.75,5.95
1.786,1.26,3.42,-2.62,4.49
1.796,1.71,2.60,-0.67,3.18
1.806,3.58,0.30,1.54,3.91
1.816,7.33,-6.03,1.46,9.61
1.826,7.67,-11.77,-0.83,14.07
