time,ax,ay,az,atotal
0.000,-0.04,0.01,-0.03,0.05
0.010,0.06,-0.03,-0.14,0.16
0.020,0.13,-0.07,-0.19,0.24
0.030,0.18,-0.09,-0.21,0.29
0.040,0.19,-0.10,-0.22,0.31
0.050,0.16,-0.10,-0.18,0.26
0.060,0.12,-0.06,-0.09,0.16
0.070,0.09,0.01,0.01,0.09
0.080,0.04,0.06,0.02,0.07
0.090,0.02,0.06,0.01,0.07
0.100,0.02,0.05,0.05,0.08
0.110,-0.01,0.06,0.06,0.08
0.120,-0.01,0.04,0.04,0.06
0.130,0.02,-0.01,0.07,0.07
0.140,0.04,-0.00,0.09,0.10
0.150,0.02,0.01,0.09,0.09
0.160,0.00,-0.00,0.04,0.04
0.170,0.05,0.07,-0.01,0.09
0.180,-0.06,0.01,-0.11,0.13
0.190,-0.04,-0.08,-0.21,0.23
0.200,0.04,-0.02,-0.01,0.04
0.210,0.04,0.01,0.05,0.06
0.220,0.06,-0.00,0.02,0.07
0.230,0.01,-0.01,0.02,0.03
0.240,0.09,-0.08,-0.08,0.14
0.250,0.12,0.00,-0.08,0.14
0.260,0.06,0.01,-0.05,0.07
0.270,0.03,-0.01,-0.02,0.04
0.279,0.05,0.00,0.02,0.05
0.290,0.06,0.00,0.03,0.06
0.299,0.05,0.02,-0.03,0.06
0.310,0.04,0.02,-0.05,0.07
0.319,0.04,0.02,-0.00,0.05
0.329,-0.00,0.01,-0.01,0.01
0.339,-0.00,-0.00,-0.06,0.06
0.349,0.04,-0.04,-0.03,0.07
0.359,0.07,0.02,0.06,0.09
0.370,-0.04,-0.04,0.05,0.07
0.379,0.01,-0.07,-0.07,0.09
0.389,0.04,0.01,0.03,0.05
0.399,0.03,0.03,0.07,0.08
0.409,0.03,-0.01,0.06,0.07
0.419,0.03,0.01,0.03,0.04
0.429,0.03,0.04,-0.02,0.05
0.439,-0.01,0.02,-0.07,0.07
0.449,-0.02,0.02,-0.02,0.04
0.459,-0.00,0.04,0.01,0.04
0.469,0.06,0.01,-0.04,0.08
0.479,0.07,-0.02,-0.04,0.09
0.489,0.06,-0.01,-0.01,0.06
0.499,0.05,0.01,0.00,0.05
0.509,0.05,0.02,-0.03,0.06
0.519,0.03,0.00,-0.11,0.12
0.529,0.01,-0.02,-0.09,0.09
0.539,0.04,0.03,-0.01,0.05
0.549,0.06,0.05,0.06,0.10
0.559,0.02,-0.06,-0.02,0.07
0.569,0.07,-0.03,-0.02,0.08
0.579,0.01,0.04,-0.01,0.04
0.589,-0.08,0.01,-0.06,0.10
0.599,-0.05,0.01,-0.04,0.06
0.609,0.04,0.01,0.03,0.05
0.619,0.08,-0.00,0.02,0.08
0.629,0.05,-0.01,0.03,0.06
0.639,0.05,0.00,0.05,0.06
0.649,0.05,0.01,0.02,0.06
0.659,0.04,0.02,-0.11,0.12
0.669,0.01,0.00,-0.10,0.10
0.679,-0.01,0.05,0.06,0.08
0.689,0.03,-0.05,0.06,0.08
0.699,0.04,-0.06,0.11,0.13
0.709,-0.00,-0.03,0.11,0.11
0.719,0.03,-0.01,0.05,0.06
0.729,0.04,-0.00,0.02,0.05
0.739,0.02,0.03,0.03,0.04
0.749,0.05,0.05,-0.00,0.07
0.759,0.05,0.04,-0.05,0.08
0.769,0.02,0.02,-0.09,0.10
0.778,0.03,0.01,-0.06,0.06
