time,ax,ay,az,atotal
0.000,0.75,0.30,0.65,1.04
0.010,0.19,0.24,-0.15,0.35
0.020,0.21,-0.07,-0.70,0.73
0.030,0.10,-0.24,-0.52,0.58
0.040,0.28,-0.19,-0.23,0.41
0.050,0.48,-0.07,-0.25,0.54
0.060,0.47,0.15,-0.11,0.50
0.070,0.26,0.32,0.14,0.43
0.080,0.34,0.25,0.18,0.46
0.090,0.39,0.09,0.02,0.40
0.100,0.35,-0.09,-0.15,0.39
0.110,0.26,-0.24,-0.25,0.43
0.120,0.22,-0.37,-0.33,0.54
0.130,0.25,-0.50,-0.41,0.69
0.140,0.25,-0.65,-0.42,0.81
0.150,0.29,-0.61,-0.28,0.73
0.160,0.25,-0.32,-0.20,0.45
0.170,0.36,0.01,-0.27,0.45
0.180,0.47,0.23,0.21,0.56
0.190,0.40,0.18,0.27,0.52
0.200,0.29,-0.03,-0.32,0.44
0.210,0.38,-0.17,-0.28,0.50
0.220,0.54,-0.22,0.12,0.59
0.230,0.42,-0.35,-0.11,0.56
0.239,0.50,-0.47,-0.23,0.73
0.250,0.89,-0.37,-0.07,0.97
0.259,1.07,-0.25,-0.40,1.17
0.269,0.89,-0.15,-0.84,1.23
0.279,0.82,-0.03,-1.09,1.37
0.289,0.77,-0.03,-1.30,1.51
0.299,0.97,0.46,-0.98,1.46
0.309,1.13,0.15,-1.31,1.74
0.319,1.26,-0.75,-1.80,2.33
0.329,1.33,-1.00,-1.69,2.37
0.339,1.37,-0.87,-1.40,2.14
0.349,1.53,-0.78,-1.23,2.11
0.359,1.75,-0.47,-1.19,2.16
0.369,1.56,-0.76,-1.37,2.21
0.379,1.50,-2.22,-1.63,3.14
0.389,1.42,-2.58,-1.67,3.39
0.399,1.62,-2.11,-1.01,2.85
0.409,2.02,-1.30,-0.75,2.52
0.419,2.16,-0.73,-0.60,2.35
0.429,2.06,-0.56,-0.69,2.24
0.439,1.91,-0.86,-1.35,2.49
0.449,1.84,-1.33,-1.81,2.90
0.459,1.84,-1.54,-1.23,2.69
0.469,1.52,-1.49,-0.17,2.13
0.479,1.00,-1.34,-0.06,1.67
0.489,1.06,-1.35,-0.35,1.76
0.499,1.17,-1.65,-0.71,2.14
0.509,1.04,-1.94,-0.60,2.28
0.519,1.12,-2.02,-0.25,2.32
0.529,0.83,-1.89,-0.03,2.07
0.539,0.23,-1.73,0.63,1.86
0.549,-0.31,-1.65,1.67,2.37
0.559,-0.23,-1.35,1.18,1.81
0.569,0.05,-0.95,-0.19,0.97
0.579,-0.13,-0.74,-1.07,1.31
0.589,-0.50,-0.77,-1.09,1.42
0.599,-0.75,-0.88,-1.01,1.54
0.609,-0.76,-1.08,-1.84,2.26
0.619,-1.35,-0.62,-1.28,1.96
0.629,-0.83,-0.20,-1.28,1.54
0.639,0.47,-1.10,-1.85,2.20
0.649,1.03,-1.91,-2.15,3.05
0.659,1.56,-1.91,-2.41,3.45
0.669,2.12,-1.55,-2.79,3.83
0.679,3.10,-2.02,-3.39,5.02
0.689,4.20,-2.62,-4.82,6.91
0.698,6.05,-2.10,-6.97,9.46
0.708,7.72,-1.64,-8.22,11.40
0.718,6.92,-2.18,-7.02,10.09
0.728,3.44,-3.30,-2.90,5.58
0.738,1.68,-4.82,1.26,5.26
