time,wx,wy,wz
0.006,-0.11,0.36,0.06
0.020,-0.29,0.46,0.10
0.037,-0.39,0.65,0.13
0.053,-0.42,0.94,0.07
0.070,-0.61,1.15,0.07
0.087,-0.96,1.16,0.29
0.104,-0.88,0.41,1.06
0.120,-0.09,-0.05,1.62
0.137,0.58,0.63,1.98
0.154,1.18,0.64,1.92
0.170,1.49,0.51,1.00
0.187,1.30,0.13,-1.14
0.203,1.20,0.29,-0.91
0.220,0.51,2.21,-0.11
0.253,0.09,2.12,-0.59
0.270,-0.27,-0.29,-0.58
0.287,0.07,-1.41,-0.37
0.320,-0.10,-0.57,0.12
0.337,-0.17,-0.44,-0.03
0.353,0.10,-1.10,-0.31
0.370,0.47,-2.19,-0.63
0.387,0.75,-3.98,-0.83
0.403,0.29,-5.58,-0.73
0.420,0.22,-5.51,0.65
0.437,1.07,-2.36,1.37
0.453,1.21,-0.36,1.68
0.470,0.42,-0.47,1.19
0.486,-0.49,-1.09,-0.32
0.504,-1.21,-1.39,-1.99
0.520,-1.42,-1.32,-2.54
0.536,-0.96,-1.56,-1.88
0.553,-0.36,-1.31,-0.24
0.570,-0.16,-1.66,1.03
0.587,-0.17,-2.13,0.85
0.604,0.08,-2.38,0.72
0.620,0.43,-3.02,1.00
0.637,0.74,-4.07,1.32
0.653,0.90,-4.91,1.48
0.670,1.07,-5.09,1.61
0.687,1.13,-4.67,1.89
0.704,1.41,-4.51,2.93
0.720,1.62,-4.03,3.70
0.737,1.03,-4.24,4.15
0.753,0.00,-4.72,4.21
0.770,-0.50,-3.62,3.12
0.787,-0.50,-3.10,2.97
0.803,-0.36,-2.39,3.15
0.820,-0.18,-1.79,3.45
0.837,0.05,-1.73,3.53
0.853,0.35,-2.03,3.33
0.870,1.10,-2.32,2.89
0.904,1.34,-0.99,3.01
0.920,1.17,-0.27,2.97
0.937,0.95,0.20,2.83
0.976,0.87,0.61,2.10
0.987,1.09,0.57,1.76
1.004,1.34,0.34,1.38
1.020,1.56,-0.00,0.93
1.036,1.70,-0.30,0.39
1.053,1.76,-0.58,-0.05
1.070,1.79,-0.82,-0.51
1.087,1.83,-1.14,-1.17
1.103,1.81,-1.59,-1.82
1.120,1.13,-1.44,-1.91
1.136,-0.75,0.06,-1.07
1.154,-1.26,1.42,-0.87
1.170,-0.57,1.44,-0.93
1.186,-0.20,1.03,-0.92
1.204,-0.26,-0.31,-1.22
1.220,-0.12,-0.79,-1.28
1.236,0.11,-0.45,-1.11
1.253,0.23,-0.51,-0.65
1.270,0.51,-0.50,-0.51
1.287,0.68,-0.55,-0.40
1.303,0.86,-0.34,-0.49
1.320,0.70,0.01,-0.46
1.337,0.60,-0.98,0.39
1.353,0.85,-1.10,-0.36
1.370,1.07,-0.31,-0.46
1.387,0.70,-0.36,0.21
1.404,0.70,-0.04,0.25
1.420,0.73,-0.01,0.40
1.437,0.47,-0.16,0.51
1.454,0.00,-0.72,0.11
1.487,-0.13,-0.78,0.18
1.504,-0.33,-0.82,1.52
1.520,0.19,-0.35,2.27
1.553,-0.07,-1.28,2.21
1.570,-0.48,-0.85,1.79
1.588,-0.88,-0.11,1.57
1.604,-1.17,0.50,1.70
1.621,-1.31,0.85,1.99
1.637,-1.37,0.95,2.27
1.653,-1.34,0.76,2.52
1.670,-1.22,0.26,2.68
1.687,-1.08,-0.28,2.72
1.703,-0.98,-0.89,2.75
1.720,-0.18,-0.06,2.53
1.737,1.36,2.08,2.05
1.754,1.22,1.74,1.74
1.770,0.38,0.55,1.56
1.787,0.15,0.19,1.66
1.804,0.03,0.13,1.89
1.820,-0.14,0.18,2.04
1.837,-0.18,0.29,2.25
1.853,-0.05,0.34,2.69
1.870,0.01,0.06,3.06
1.887,0.03,-0.27,3.27
1.903,0.09,-0.38,3.52
1.920,0.16,-0.35,3.85
1.936,0.27,-0.56,4.30
1.953,0.50,-0.83,4.61
1.970,0.75,-1.34,4.74
