time,wx,wy,wz
0.000,-0.17,0.01,0.04
0.010,-0.20,0.03,0.05
0.020,-0.21,0.04,0.04
0.030,-0.22,0.04,0.04
0.040,-0.23,0.04,0.02
0.050,-0.22,0.04,0.02
0.060,-0.21,0.03,0.01
0.070,-0.18,0.02,0.01
0.080,-0.14,0.01,0.02
0.090,-0.09,0.00,0.02
0.100,-0.05,-0.00,0.01
0.110,-0.02,0.00,0.01
0.120,0.02,-0.00,-0.00
0.130,0.04,-0.00,-0.01
0.140,0.05,0.01,0.00
0.150,0.05,-0.00,0.00
0.160,0.05,0.00,0.01
0.170,0.06,0.00,0.00
0.180,0.06,0.00,0.00
0.190,0.07,-0.01,-0.00
0.200,0.08,-0.01,0.00
0.210,0.09,-0.01,-0.00
0.220,0.10,-0.01,-0.00
0.230,0.11,-0.01,-0.00
0.240,0.11,-0.01,-0.00
0.250,0.10,-0.01,-0.01
0.260,0.10,-0.02,-0.00
0.270,0.08,-0.01,0.00
0.279,0.07,-0.02,0.01
0.290,0.07,-0.03,0.01
0.299,0.06,-0.00,0.01
0.309,0.05,-0.01,0.01
0.319,0.04,-0.00,0.01
0.329,0.03,0.01,0.01
0.339,0.02,0.01,0.01
0.349,0.00,0.01,0.01
0.359,-0.00,0.01,0.01
0.369,-0.01,0.01,0.00
0.379,-0.01,0.00,0.00
0.389,-0.02,-0.00,0.01
0.399,-0.02,-0.00,0.01
0.409,-0.01,-0.00,0.00
0.419,-0.00,0.01,-0.00
0.429,0.01,0.00,-0.00
0.439,0.02,-0.02,0.01
0.449,0.05,-0.02,0.01
0.459,0.07,-0.00,0.01
0.469,0.08,-0.00,0.00
0.479,0.08,-0.00,0.00
0.489,0.07,-0.00,0.01
0.499,0.07,0.00,0.01
0.509,0.06,0.01,0.01
0.519,0.05,0.01,0.01
0.529,0.04,0.01,0.00
0.539,0.04,0.00,0.01
0.549,0.05,-0.02,0.01
0.559,0.08,-0.03,0.01
0.569,0.10,-0.02,-0.01
0.579,0.12,-0.01,-0.02
0.589,0.12,-0.01,-0.03
0.599,0.11,-0.01,-0.02
0.609,0.10,-0.01,-0.02
0.619,0.08,-0.01,-0.01
0.629,0.07,-0.01,-0.01
0.639,0.06,0.00,-0.01
0.649,0.04,0.00,-0.00
0.659,0.03,0.00,-0.00
0.669,0.03,0.00,-0.00
0.679,0.02,0.00,-0.00
0.689,0.02,0.01,-0.00
0.699,0.01,0.00,-0.00
0.709,0.01,0.00,-0.00
0.719,0.01,0.00,-0.00
0.728,-0.00,0.00,0.00
0.739,-0.01,0.00,0.01
0.748,-0.01,0.00,0.00
0.758,-0.01,0.00,-0.00
0.769,-0.01,0.01,-0.00
0.778,-0.01,0.00,-0.00
0.788,-0.00,0.00,-0.00
0.798,-0.00,0.01,-0.01
0.808,0.00,0.01,-0.00
0.818,0.00,-0.00,-0.00
0.828,0.01,0.00,-0.01
0.838,0.01,0.00,-0.00
0.848,0.00,0.00,0.00
0.858,-0.00,0.00,-0.00
0.868,-0.01,0.01,0.00
0.878,-0.01,0.00,0.01
0.888,-0.02,0.00,0.00
0.898,-0.02,0.01,-0.00
0.908,-0.02,0.01,-0.01
0.918,-0.02,0.01,-0.01
0.928,-0.02,0.00,-0.01
0.938,-0.03,0.01,-0.00
0.948,-0.03,0.00,-0.00
0.958,-0.02,0.01,-0.01
0.968,-0.02,0.01,-0.00
0.978,-0.02,0.01,-0.00
0.988,-0.01,0.01,-0.01
0.998,-0.00,0.01,-0.00
