time,wx,wy,wz
0.007,-0.50,0.06,0.05
0.020,-0.44,0.02,0.06
0.037,-0.25,-0.03,0.10
0.053,-0.03,-0.02,0.10
0.070,0.19,0.10,0.09
0.087,0.31,0.26,0.08
0.103,0.27,0.30,0.04
0.120,0.12,0.42,0.02
0.137,0.04,0.59,0.11
0.153,0.09,0.68,0.17
0.170,0.13,0.75,0.05
0.186,0.23,0.50,-0.23
0.203,0.69,0.22,-0.51
0.220,1.38,0.26,-0.69
0.237,1.95,0.50,-0.84
0.253,2.39,0.70,-0.88
0.270,2.46,0.63,-0.63
0.287,1.82,-0.16,-0.22
0.303,-0.02,-1.06,-0.36
0.320,-0.57,-0.26,-0.44
0.337,-0.22,-0.39,0.03
0.353,0.10,-0.90,0.21
0.370,0.06,-1.06,-0.11
0.387,0.20,-1.11,-0.36
0.403,0.43,-1.12,-0.35
0.420,0.51,-1.20,-0.27
0.436,0.45,-1.55,-0.23
0.453,0.42,-1.88,-0.21
0.474,0.60,-1.49,0.05
0.487,0.47,-1.24,0.22
0.520,-0.24,-2.44,0.80
0.536,-0.68,-3.30,1.32
0.553,-0.45,-3.24,1.77
0.570,0.28,-2.58,1.89
0.587,0.36,-3.00,1.48
0.603,0.01,-3.56,1.00
0.620,-0.17,-3.44,0.99
0.637,-0.29,-3.23,1.20
0.653,-0.46,-3.21,1.45
0.670,-0.66,-3.18,1.71
0.687,-0.71,-2.91,1.92
0.703,-0.68,-2.50,1.89
0.720,-0.60,-1.91,1.87
0.736,-0.29,-1.61,2.01
0.753,0.12,-1.75,2.08
0.770,0.47,-2.24,2.38
0.786,0.89,-2.68,2.61
0.804,1.38,-3.18,2.62
0.820,1.71,-4.11,2.62
0.837,1.69,-4.47,2.85
0.854,1.46,-3.84,3.17
0.870,1.28,-2.97,3.38
0.887,1.52,-2.49,3.42
0.903,1.80,-2.38,3.50
0.920,1.75,-2.35,3.64
0.937,1.57,-1.99,3.69
0.953,1.41,-1.57,3.72
0.970,1.38,-1.23,3.60
0.987,1.37,-1.11,3.32
1.003,1.26,-0.89,3.05
1.020,1.04,-0.58,2.82
1.037,0.81,-0.39,2.66
1.053,0.66,-0.24,2.62
1.070,0.99,-0.07,2.29
1.103,1.27,0.03,1.87
1.120,1.40,0.15,1.11
1.137,1.59,-0.09,0.83
1.170,0.70,0.96,-0.16
1.187,-0.21,1.67,-0.57
1.203,-0.72,1.80,-1.06
1.220,-0.70,1.56,-1.59
1.237,-0.68,1.23,-1.72
1.253,-0.67,0.70,-1.71
1.270,-0.16,-0.46,-1.53
1.287,0.41,-1.34,-1.22
1.303,0.95,-1.90,-1.02
1.320,1.35,-2.31,-0.91
1.336,1.62,-2.00,-1.48
1.353,1.18,-1.41,-1.06
1.370,0.43,-0.09,-1.07
1.387,0.46,0.05,-1.04
1.403,0.71,-0.45,-0.68
1.420,1.22,-0.65,-0.87
1.437,1.75,-1.17,-1.07
1.453,1.87,-1.36,-0.82
1.470,1.81,-1.09,-0.82
1.486,1.77,-1.19,-0.48
1.503,1.57,-1.56,-0.30
1.523,0.70,-1.02,0.64
1.553,0.09,-0.36,1.41
1.570,-0.38,0.05,1.83
1.587,-0.63,0.36,1.92
1.603,-0.79,0.62,2.00
1.620,-1.09,0.68,2.24
1.637,-1.39,0.61,2.66
1.653,-1.68,0.27,3.28
1.687,-1.97,-0.00,3.10
1.703,-2.30,-0.37,3.04
1.720,-2.27,-0.87,3.20
1.753,0.01,0.45,3.02
1.770,1.06,0.27,2.31
1.787,1.54,-0.86,2.08
1.803,1.92,-1.77,2.45
1.820,2.24,-2.17,3.01
1.837,2.51,-2.39,3.64
1.853,2.77,-2.13,4.27
1.871,2.99,-1.57,4.89
1.887,2.99,-1.08,5.56
1.904,2.89,-0.80,5.89
1.920,2.79,-1.79,5.53
1.937,2.52,-4.52,4.85
1.954,1.95,-7.45,3.43
1.970,0.46,-8.02,1.34
1.987,-0.90,-4.32,-0.27
2.003,-1.49,0.09,-0.75
2.020,-1.48,2.50,-0.80
2.037,-1.23,3.43,-0.63
2.053,-0.94,3.58,-0.37
2.070,-0.64,3.15,-0.19
2.087,-0.38,2.21,-0.17
2.103,-0.12,0.98,-0.21
2.120,0.19,-0.21,-0.15
2.137,0.48,-1.15,-0.04
2.153,0.71,-1.75,0.08
2.170,0.72,-1.94,0.16
2.187,0.11,-1.34,0.06
2.203,-0.33,-0.40,-0.06
2.220,-0.29,0.30,-0.08
2.237,-0.08,0.99,-0.25
2.269,-0.06,1.05,-0.29
2.287,-0.19,0.86,-0.19
2.303,-0.21,0.60,-0.16
2.337,-0.06,0.19,-0.02
2.353,0.08,0.06,-0.01
2.369,0.17,-0.06,0.00
2.387,0.21,-0.22,0.03
2.403,0.22,-0.38,0.05
2.420,0.19,-0.46,0.05
2.437,0.09,-0.44,0.04
2.454,-0.14,-0.36,0.04
2.470,-0.27,-0.19,0.03
2.487,-0.20,-0.03,0.01
2.503,-0.05,0.10,-0.05
2.520,0.08,0.18,-0.03
2.537,0.08,0.15,-0.00
2.553,0.00,0.04,-0.00
2.574,-0.06,-0.05,0.01
2.586,-0.06,-0.10,0.03
2.603,-0.03,-0.11,0.02
2.620,-0.01,-0.08,0.01
2.636,-0.02,-0.04,0.00
2.653,-0.04,0.01,-0.01
2.670,-0.05,0.05,-0.01
2.687,-0.03,0.08,-0.01
2.703,-0.01,0.11,-0.01
2.720,0.00,0.12,-0.02
2.737,0.00,0.14,-0.02
2.753,-0.01,0.16,-0.02
2.770,-0.01,0.17,-0.02
2.787,-0.01,0.17,-0.03
